# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/2/2020 4:00,solar,Solar Production,Solar,,,,5.21,0.005
3/2/2020 4:00,63b2178f,Furnace1,Mystery Heat,,,,85.659,0.086
3/2/2020 4:00,77639ae9,Portable Heater,Space Heater,,,,74.948,0.075
3/2/2020 4:00,hgLq1FnZ,kasa plug,Smart Plug,,,,244.364,0.244
3/2/2020 5:00,mains,Total Usage,,,,,1078.35,1.078
3/2/2020 5:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 5:00,c4efa971,Fridge,Fridge,,,,14.081,0.014
3/2/2020 5:00,cfd74978,Furnace,Furnace,,,,289.522,0.29
3/2/2020 5:00,solar,Solar Production,Solar,,,,4.023,0.004
3/2/2020 5:00,63b2178f,Furnace1,Mystery Heat,,,,95.658,0.096
3/2/2020 5:00,77639ae9,Portable Heater,Space Heater,,,,25.449,0.025
3/2/2020 5:00,hgLq1FnZ,kasa plug,Smart Plug,,,,220.053,0.22
3/2/2020 6:00,mains,Total Usage,,,,,1078.988,1.079
3/2/2020 6:00,always_on,Always On,AlwaysOn,,,,410,0.41
3/2/2020 6:00,c4efa971,Fridge,Fridge,,,,20.344,0.02
3/2/2020 6:00,cfd74978,Furnace,Furnace,,,,129.165,0.129
3/2/2020 6:00,25c55a21,Dishwasher,Dishwasher,,,,74.556,0.075
3/2/2020 6:00,solar,Solar Production,Solar,,,,3.901,0.004
3/2/2020 6:00,63b2178f,Furnace1,Mystery Heat,,,,126.383,0.126
3/2/2020 6:00,77639ae9,Portable Heater,Space Heater,,,,31.838,0.032
3/2/2020 6:00,hgLq1FnZ,kasa plug,Smart Plug,,,,305.592,0.306
3/2/2020 7:00,a69d3ea2,Microwave,Microwave,,,,19.29,0.019
3/2/2020 7:00,mains,Total Usage,,,,,1479.981,1.48
3/2/2020 7:00,always_on,Always On,AlwaysOn,,,,408,0.408
3/2/2020 7:00,cfd74978,Furnace,Furnace,,,,273.721,0.274
3/2/2020 7:00,25c55a21,Dishwasher,Dishwasher,,,,368.649,0.369
3/2/2020 7:00,solar,Solar Production,Solar,,,,-16.66,-0.017
3/2/2020 7:00,63b2178f,Furnace1,Mystery Heat,,,,49.125,0.049
3/2/2020 7:00,77639ae9,Portable Heater,Space Heater,,,,18.156,0.018
3/2/2020 7:00,hgLq1FnZ,kasa plug,Smart Plug,,,,105.213,0.105
3/2/2020 8:00,mains,Total Usage,,,,,1614.752,1.615
3/2/2020 8:00,always_on,Always On,AlwaysOn,,,,401.2,0.401
3/2/2020 8:00,c4efa971,Fridge,Fridge,,,,125.296,0.125
3/2/2020 8:00,cfd74978,Furnace,Furnace,,,,7.828,0.008
3/2/2020 8:00,25c55a21,Dishwasher,Dishwasher,,,,621.002,0.621
3/2/2020 8:00,solar,Solar Production,Solar,,,,-135.253,-0.135
3/2/2020 8:00,63b2178f,Furnace1,Mystery Heat,,,,8.875,0.009
3/2/2020 9:00,mains,Total Usage,,,,,866.464,0.866
3/2/2020 9:00,always_on,Always On,AlwaysOn,,,,400.383,0.4
3/2/2020 9:00,solar,Solar Production,Solar,,,,-322.404,-0.322
3/2/2020 10:00,mains,Total Usage,,,,,1207.018,1.207
3/2/2020 10:00,always_on,Always On,AlwaysOn,,,,407,0.407
3/2/2020 10:00,c4efa971,Fridge,Fridge,,,,17.595,0.018
3/2/2020 10:00,solar,Solar Production,Solar,,,,-2263.225,-2.263
3/2/2020 10:00,63b2178f,Furnace1,Mystery Heat,,,,3.532,0.004
3/2/2020 11:00,mains,Total Usage,,,,,2475.91,2.476
3/2/2020 11:00,always_on,Always On,AlwaysOn,,,,407.266,0.407
3/2/2020 11:00,cfd74978,Furnace,Furnace,,,,319.136,0.319
3/2/2020 11:00,solar,Solar Production,Solar,,,,-5249.197,-5.249
3/2/2020 11:00,62987bff,Dryer,Dryer,,,,536.214,0.536
3/2/2020 11:00,63b2178f,Furnace1,Mystery Heat,,,,10.975,0.011
